Empresa,Canal_Distribuicao,Mercado,Volume_Venda,Data
BI,ME,R2,5388.0,2012-01-01 00:00:00.000
BI,ME,R2,14226.0,2012-02-01 00:00:00.000
BI,ME,R2,21498.0,2012-03-01 00:00:00.000
BI,ME,R2,4610.0,2012-04-01 00:00:00.000
BI,ME,R2,10144.0,2012-05-01 00:00:00.000
BI,ME,R2,10000.0,2012-06-01 00:00:00.000
BI,ME,R2,22976.0,2012-07-01 00:00:00.000
BI,ME,R2,29000.0,2012-08-01 00:00:00.000
BI,ME,R2,8500.0,2012-09-01 00:00:00.000
BI,ME,R2,24550.0,2012-10-01 00:00:00.000
BI,ME,R2,20790.0,2012-11-01 00:00:00.000
BI,ME,R2,30850.0,2012-12-01 00:00:00.000
BI,ME,R2,6126.0,2013-01-01 00:00:00.000
BI,ME,R2,18300.0,2013-02-01 00:00:00.000
BI,ME,R2,11900.0,2013-03-01 00:00:00.000
BI,ME,R2,15800.0,2013-04-01 00:00:00.000
BI,ME,R2,27512.0,2013-05-01 00:00:00.000
BI,ME,R2,11400.0,2013-06-01 00:00:00.000
BI,ME,R2,25654.0,2013-07-01 00:00:00.000
BI,ME,R2,23500.0,2013-08-01 00:00:00.000
BI,ME,R2,15968.0,2013-09-01 00:00:00.000
BI,ME,R2,19806.0,2013-10-01 00:00:00.000
BI,ME,R2,23794.0,2013-11-01 00:00:00.000
BI,ME,R2,52100.0,2013-12-01 00:00:00.000
BI,ME,R2,4200.0,2014-01-01 00:00:00.000
BI,ME,R2,23100.0,2014-02-01 00:00:00.000
BI,ME,R2,31600.0,2014-03-01 00:00:00.000
BI,ME,R2,26300.0,2014-04-01 00:00:00.000
BI,ME,R2,21900.0,2014-05-01 00:00:00.000
BI,ME,R2,27300.0,2014-06-01 00:00:00.000
BI,ME,R2,10040.0,2014-07-01 00:00:00.000
BI,ME,R2,29200.0,2014-08-01 00:00:00.000
BI,ME,R2,3000.0,2014-09-01 00:00:00.000
BI,ME,R2,25700.0,2014-10-01 00:00:00.000
BI,ME,R2,14500.0,2014-11-01 00:00:00.000
BI,ME,R2,45190.0,2014-12-01 00:00:00.000
BI,ME,R2,11200.0,2015-01-01 00:00:00.000
BI,ME,R2,25840.0,2015-02-01 00:00:00.000
BI,ME,R2,15200.0,2015-03-01 00:00:00.000
BI,ME,R2,21970.0,2015-04-01 00:00:00.000
BI,ME,R2,18290.0,2015-05-01 00:00:00.000
BI,ME,R2,19700.0,2015-06-01 00:00:00.000
BI,ME,R2,15900.0,2015-07-01 00:00:00.000
BI,ME,R2,24244.0,2015-08-01 00:00:00.000
BI,ME,R2,18210.0,2015-09-01 00:00:00.000
BI,ME,R2,18230.0,2015-10-01 00:00:00.000
BI,ME,R2,11716.0,2015-11-01 00:00:00.000
BI,ME,R2,16544.0,2015-12-01 00:00:00.000
BI,ME,R2,5010.0,2016-01-01 00:00:00.000
BI,ME,R2,17130.0,2016-02-01 00:00:00.000
BI,ME,R2,61524.0,2016-03-01 00:00:00.000
BI,ME,R2,22020.0,2016-04-01 00:00:00.000
BI,ME,R2,26980.0,2016-05-01 00:00:00.000
BI,ME,R2,29358.0,2016-06-01 00:00:00.000
BI,ME,R2,36350.0,2016-07-01 00:00:00.000
BI,ME,R2,36250.0,2016-08-01 00:00:00.000
BI,ME,R2,29300.0,2016-09-01 00:00:00.000
BI,ME,R2,41900.0,2016-10-01 00:00:00.000
BI,ME,R2,48414.0,2016-11-01 00:00:00.000
BI,ME,R2,63524.0,2016-12-01 00:00:00.000
BI,ME,R2,27120.0,2017-01-01 00:00:00.000
BI,ME,R2,17950.0,2017-02-01 00:00:00.000
BI,ME,R2,33300.0,2017-03-01 00:00:00.000
BI,ME,R2,25600.0,2017-04-01 00:00:00.000
BI,ME,R2,45398.0,2017-06-01 00:00:00.000
BI,ME,R2,16400.0,2017-07-01 00:00:00.000
BI,ME,R2,17582.0,2017-08-01 00:00:00.000
BI,ME,R2,26750.0,2017-09-01 00:00:00.000
BI,ME,R2,26800.0,2017-10-01 00:00:00.000
BI,ME,R2,21850.0,2017-11-01 00:00:00.000
BI,ME,R2,47892.0,2017-12-01 00:00:00.000
BI,ME,R2,5150.0,2018-01-01 00:00:00.000
BI,ME,R2,27238.0,2018-02-01 00:00:00.000
BI,ME,R2,26600.0,2018-03-01 00:00:00.000
BI,ME,R2,29950.0,2018-04-01 00:00:00.000
BI,ME,R2,27750.0,2018-05-01 00:00:00.000
BI,ME,R2,39280.0,2018-06-01 00:00:00.000
BI,ME,R2,20120.0,2018-07-01 00:00:00.000
BI,ME,R2,22880.0,2018-08-01 00:00:00.000
BI,ME,R2,38220.0,2018-09-01 00:00:00.000
BI,ME,R2,9250.0,2018-10-01 00:00:00.000
BI,ME,R2,16650.0,2018-11-01 00:00:00.000
BI,ME,R2,53124.0,2018-12-01 00:00:00.000
BI,ME,R2,23730.0,2019-01-01 00:00:00.000
BI,ME,R2,23414.0,2019-02-01 00:00:00.000
BI,ME,R2,41130.0,2019-03-01 00:00:00.000
BI,ME,R2,29190.0,2019-04-01 00:00:00.000
BI,ME,R2,23064.0,2019-05-01 00:00:00.000
BI,ME,R2,68794.0,2019-06-01 00:00:00.000
BI,ME,R2,20200.0,2019-07-01 00:00:00.000
BI,ME,R2,38178.0,2019-08-01 00:00:00.000
BI,ME,R2,57756.0,2019-09-01 00:00:00.000
BI,ME,R2,13514.0,2019-10-01 00:00:00.000
BI,ME,R2,62628.0,2019-11-01 00:00:00.000
BI,ME,R2,15542.0,2019-12-01 00:00:00.000
BI,ME,R2,23564.0,2020-01-01 00:00:00.000
BI,ME,R2,19800.0,2020-02-01 00:00:00.000
BI,ME,R2,61830.0,2020-03-01 00:00:00.000
BI,ME,R2,23390.0,2020-04-01 00:00:00.000
BI,ME,R2,30528.0,2020-05-01 00:00:00.000
BI,ME,R2,53398.0,2020-06-01 00:00:00.000
BI,ME,R2,15258.0,2020-07-01 00:00:00.000
BI,ME,R2,34724.0,2020-08-01 00:00:00.000
BI,ME,R2,67448.0,2020-09-01 00:00:00.000
BI,ME,R2,9208.0,2020-10-01 00:00:00.000
BI,ME,R2,45100.0,2020-11-01 00:00:00.000
BI,ME,R2,71572.0,2020-12-01 00:00:00.000
BI,ME,R2,13058.0,2021-01-01 00:00:00.000
BI,ME,R2,26782.0,2021-02-01 00:00:00.000
BI,ME,R2,8198.0,2021-03-01 00:00:00.000
BI,ME,R2,20184.0,2021-04-01 00:00:00.000
BI,ME,R2,19376.0,2021-05-01 00:00:00.000
BI,ME,R2,53266.0,2021-06-01 00:00:00.000
BI,ME,R2,16436.0,2021-07-01 00:00:00.000
BI,ME,R2,34406.0,2021-08-01 00:00:00.000
BI,ME,R2,27794.0,2021-09-01 00:00:00.000
BI,ME,R2,23320.0,2021-10-01 00:00:00.000
BI,ME,R2,60170.0,2021-11-01 00:00:00.000
BI,ME,R2,38456.0,2021-12-01 00:00:00.000
BI,ME,R2,22100.0,2022-01-01 00:00:00.000
BI,ME,R3,46478.0,2012-01-01 00:00:00.000
BI,ME,R3,36412.0,2012-02-01 00:00:00.000
BI,ME,R3,41470.0,2012-03-01 00:00:00.000
BI,ME,R3,39242.0,2012-04-01 00:00:00.000
BI,ME,R3,32868.0,2012-05-01 00:00:00.000
BI,ME,R3,37906.0,2012-06-01 00:00:00.000
BI,ME,R3,38944.0,2012-07-01 00:00:00.000
BI,ME,R3,46604.0,2012-08-01 00:00:00.000
BI,ME,R3,41344.0,2012-09-01 00:00:00.000
BI,ME,R3,44976.0,2012-10-01 00:00:00.000
