Empresa,Canal_Distribuicao,Mercado,Volume_Venda,Data
BR,EE,R1,0.0,2012-01-01 00:00:00.000
BR,EE,R1,13000.0,2012-02-01 00:00:00.000
BR,EE,R1,13000.0,2012-03-01 00:00:00.000
BR,EE,R1,9000.0,2012-04-01 00:00:00.000
BR,EE,R1,11330.0,2012-05-01 00:00:00.000
BR,EE,R1,25530.0,2012-06-01 00:00:00.000
BR,EE,R1,0.0,2012-07-01 00:00:00.000
BR,EE,R1,9500.0,2012-08-01 00:00:00.000
BR,EE,R1,12000.0,2012-09-01 00:00:00.000
BR,EE,R1,13000.0,2012-10-01 00:00:00.000
BR,EE,R1,0.0,2012-11-01 00:00:00.000
BR,EE,R1,27000.0,2012-12-01 00:00:00.000
BR,EE,R1,9000.0,2013-01-01 00:00:00.000
BR,EE,R1,14000.0,2013-02-01 00:00:00.000
BR,EE,R1,12000.0,2013-03-01 00:00:00.000
BR,EE,R1,9000.0,2013-04-01 00:00:00.000
BR,EE,R1,11000.0,2013-05-01 00:00:00.000
BR,EE,R1,6000.0,2013-06-01 00:00:00.000
BR,EE,R1,4000.0,2013-07-01 00:00:00.000
BR,EE,R1,6000.0,2013-08-01 00:00:00.000
BR,EE,R1,6000.0,2013-09-01 00:00:00.000
BR,EE,R1,7500.0,2013-10-01 00:00:00.000
BR,EE,R1,9000.0,2013-11-01 00:00:00.000
BR,EE,R1,9000.0,2013-12-01 00:00:00.000
BR,EE,R1,15000.0,2014-01-01 00:00:00.000
BR,EE,R1,12300.0,2014-02-01 00:00:00.000
BR,EE,R1,16000.0,2014-03-01 00:00:00.000
BR,EE,R1,13000.0,2014-04-01 00:00:00.000
BR,EE,R1,11500.0,2014-05-01 00:00:00.000
BR,EE,R1,12000.0,2014-06-01 00:00:00.000
BR,EE,R1,8000.0,2014-07-01 00:00:00.000
BR,EE,R1,9000.0,2014-08-01 00:00:00.000
BR,EE,R1,10000.0,2014-09-01 00:00:00.000
BR,EE,R1,7000.0,2014-10-01 00:00:00.000
BR,EE,R1,14500.0,2014-11-01 00:00:00.000
BR,EE,R1,11000.0,2014-12-01 00:00:00.000
BR,EE,R1,8000.0,2015-01-01 00:00:00.000
BR,EE,R1,9000.0,2015-02-01 00:00:00.000
BR,EE,R1,12000.0,2015-03-01 00:00:00.000
BR,EE,R1,12000.0,2015-04-01 00:00:00.000
BR,EE,R1,0.0,2015-05-01 00:00:00.000
BR,EE,R1,16000.0,2015-06-01 00:00:00.000
BR,EE,R1,12000.0,2015-07-01 00:00:00.000
BR,EE,R1,9000.0,2015-08-01 00:00:00.000
BR,EE,R1,9000.0,2015-09-01 00:00:00.000
BR,EE,R1,11500.0,2015-10-01 00:00:00.000
BR,EE,R1,0.0,2015-11-01 00:00:00.000
BR,EE,R1,15000.0,2015-12-01 00:00:00.000
BR,EE,R1,8000.0,2016-01-01 00:00:00.000
BR,EE,R1,11500.0,2016-02-01 00:00:00.000
