Empresa,Canal_Distribuicao,Mercado,Volume_Venda,Data
BT,ME,R2,4214.0,2012-01-01 00:00:00.000
BT,ME,R2,2304.0,2012-02-01 00:00:00.000
BT,ME,R2,9504.0,2012-03-01 00:00:00.000
BT,ME,R2,3708.0,2012-04-01 00:00:00.000
BT,ME,R2,5198.0,2012-05-01 00:00:00.000
BT,ME,R2,130.0,2012-06-01 00:00:00.000
BT,ME,R2,0.0,2012-07-01 00:00:00.000
BT,ME,R2,9504.0,2012-08-01 00:00:00.000
BT,ME,R2,3000.0,2012-09-01 00:00:00.000
BT,ME,R2,312.0,2012-10-01 00:00:00.000
BT,ME,R2,78.0,2012-11-01 00:00:00.000
BT,ME,R2,21000.0,2012-12-01 00:00:00.000
BT,ME,R2,0.0,2013-01-01 00:00:00.000
BT,ME,R2,0.0,2013-02-01 00:00:00.000
BT,ME,R2,8560.0,2013-03-01 00:00:00.000
BT,ME,R2,0.0,2013-04-01 00:00:00.000
BT,ME,R2,920.0,2013-05-01 00:00:00.000
BT,ME,R2,700.0,2013-06-01 00:00:00.000
BT,ME,R2,520.0,2013-07-01 00:00:00.000
BT,ME,R2,970.0,2013-08-01 00:00:00.000
BT,ME,R2,1060.0,2013-09-01 00:00:00.000
BT,ME,R2,0.0,2013-10-01 00:00:00.000
BT,ME,R2,3850.0,2013-11-01 00:00:00.000
BT,ME,R2,710.0,2013-12-01 00:00:00.000
BT,ME,R2,0.0,2014-01-01 00:00:00.000
BT,ME,R2,1240.0,2014-02-01 00:00:00.000
BT,ME,R2,770.0,2014-03-01 00:00:00.000
BT,ME,R2,700.0,2014-04-01 00:00:00.000
BT,ME,R2,0.0,2014-05-01 00:00:00.000
BT,ME,R2,830.0,2014-06-01 00:00:00.000
BT,ME,R2,0.0,2014-07-01 00:00:00.000
BT,ME,R2,1320.0,2014-08-01 00:00:00.000
BT,ME,R2,610.0,2014-09-01 00:00:00.000
BT,ME,R2,610.0,2014-10-01 00:00:00.000
BT,ME,R2,810.0,2014-11-01 00:00:00.000
BT,ME,R2,610.0,2014-12-01 00:00:00.000
BT,ME,R2,0.0,2015-01-01 00:00:00.000
BT,ME,R2,510.0,2015-02-01 00:00:00.000
BT,ME,R2,1210.0,2015-03-01 00:00:00.000
BT,ME,R2,0.0,2015-04-01 00:00:00.000
BT,ME,R2,1350.0,2015-05-01 00:00:00.000
BT,ME,R2,650.0,2015-06-01 00:00:00.000
BT,ME,R2,700.0,2015-07-01 00:00:00.000
BT,ME,R2,800.0,2015-08-01 00:00:00.000
BT,ME,R2,700.0,2015-09-01 00:00:00.000
BT,ME,R2,900.0,2015-10-01 00:00:00.000
BT,ME,R2,0.0,2015-11-01 00:00:00.000
BT,ME,R2,0.0,2015-12-01 00:00:00.000
BT,ME,R2,300.0,2016-01-01 00:00:00.000
BT,ME,R2,750.0,2016-02-01 00:00:00.000
BT,ME,R2,600.0,2016-03-01 00:00:00.000
BT,ME,R2,400.0,2016-04-01 00:00:00.000
BT,ME,R2,1000.0,2016-05-01 00:00:00.000
BT,ME,R2,300.0,2016-06-01 00:00:00.000
BT,ME,R2,0.0,2016-07-01 00:00:00.000
BT,ME,R2,0.0,2016-08-01 00:00:00.000
BT,ME,R2,0.0,2016-09-01 00:00:00.000
BT,ME,R2,0.0,2016-10-01 00:00:00.000
BT,ME,R2,0.0,2016-11-01 00:00:00.000
BT,ME,R2,0.0,2016-12-01 00:00:00.000
BT,ME,R2,0.0,2017-01-01 00:00:00.000
BT,ME,R2,0.0,2017-02-01 00:00:00.000
BT,ME,R2,0.0,2017-03-01 00:00:00.000
BT,ME,R2,0.0,2017-04-01 00:00:00.000
BT,ME,R2,0.0,2017-05-01 00:00:00.000
BT,ME,R2,0.0,2017-06-01 00:00:00.000
BT,ME,R2,0.0,2017-07-01 00:00:00.000
BT,ME,R2,0.0,2017-08-01 00:00:00.000
BT,ME,R2,0.0,2017-09-01 00:00:00.000
BT,ME,R2,0.0,2017-10-01 00:00:00.000
BT,ME,R2,0.0,2017-11-01 00:00:00.000
BT,ME,R2,0.0,2017-12-01 00:00:00.000
BT,ME,R2,0.0,2018-01-01 00:00:00.000
BT,ME,R2,0.0,2018-02-01 00:00:00.000
BT,ME,R2,0.0,2018-03-01 00:00:00.000
BT,ME,R2,0.0,2018-04-01 00:00:00.000
BT,ME,R2,0.0,2018-05-01 00:00:00.000
BT,ME,R2,0.0,2018-06-01 00:00:00.000
BT,ME,R2,0.0,2018-07-01 00:00:00.000
BT,ME,R2,0.0,2018-08-01 00:00:00.000
BT,ME,R2,0.0,2018-09-01 00:00:00.000
BT,ME,R2,0.0,2018-10-01 00:00:00.000
BT,ME,R2,0.0,2018-11-01 00:00:00.000
BT,ME,R2,0.0,2018-12-01 00:00:00.000
BT,ME,R2,0.0,2019-01-01 00:00:00.000
BT,ME,R2,0.0,2019-02-01 00:00:00.000
BT,ME,R2,0.0,2019-03-01 00:00:00.000
BT,ME,R2,0.0,2019-04-01 00:00:00.000
BT,ME,R2,0.0,2019-05-01 00:00:00.000
BT,ME,R2,0.0,2019-06-01 00:00:00.000
BT,ME,R2,0.0,2019-07-01 00:00:00.000
BT,ME,R2,0.0,2019-08-01 00:00:00.000
BT,ME,R2,0.0,2019-09-01 00:00:00.000
BT,ME,R2,0.0,2019-10-01 00:00:00.000
BT,ME,R2,0.0,2019-11-01 00:00:00.000
BT,ME,R2,0.0,2019-12-01 00:00:00.000
BT,ME,R2,0.0,2020-01-01 00:00:00.000
BT,ME,R2,0.0,2020-02-01 00:00:00.000
BT,ME,R2,0.0,2020-03-01 00:00:00.000
BT,ME,R2,0.0,2020-04-01 00:00:00.000
BT,ME,R2,0.0,2020-05-01 00:00:00.000
