Data,AN,AS,EU,JP,BRL
2012-01-01,9498.0,27964.0,91330.0,38716.0,4598.0
2012-02-01,22596.0,26910.0,75416.0,59352.0,4192.0
2012-03-01,23424.0,67078.0,77030.0,52372.0,4664.0
2012-04-01,21276.0,12912.0,78790.0,0.0,4584.0
2012-05-01,22946.0,36676.0,64634.0,98688.0,4754.0
2012-06-01,34274.0,10130.0,88052.0,0.0,4620.0
2012-07-01,9914.0,46554.0,91044.0,70726.0,6992.0
2012-08-01,20394.0,83640.0,96696.0,42592.0,6512.0
2012-09-01,24560.0,23500.0,73024.0,33368.0,6474.0
2012-10-01,25162.0,44174.0,86844.0,0.0,6658.0
2012-11-01,12124.0,60146.0,71662.0,43840.0,6774.0
2012-12-01,38316.0,80150.0,92172.0,66568.0,5056.0
2013-01-01,24480.0,12926.0,77218.0,2000.0,4692.0
2013-02-01,23576.0,47660.0,93052.0,43708.0,5366.0
2013-03-01,23262.0,41290.0,83898.0,64314.0,6272.0
2013-04-01,21106.0,28200.0,91034.0,1400.0,7310.0
2013-05-01,18794.0,55460.0,97348.0,36232.0,6464.0
2013-06-01,14802.0,20300.0,92348.0,33128.0,7890.0
2013-07-01,11206.0,53440.0,87516.0,44668.0,6046.0
2013-08-01,14580.0,60740.0,74434.0,42180.0,5118.0
2013-09-01,14975.0,31088.0,88638.0,71344.0,5270.0
2013-10-01,15605.0,35806.0,74744.0,4000.0,5982.0
2013-11-01,17280.0,45094.0,83270.0,58632.0,6346.0
2013-12-01,17668.0,110720.0,72406.0,34880.0,8364.0
2014-01-01,23534.0,9450.0,98764.0,0.0,4836.0
2014-02-01,20600.0,62230.0,70790.0,76672.0,5398.0
2014-03-01,29412.0,43740.0,78214.0,36236.0,4788.0
2014-04-01,24436.0,58000.0,84024.0,37328.0,6936.0
2014-05-01,21236.0,56700.0,83632.0,11000.0,5832.0
2014-06-01,21118.0,40460.0,94086.0,67316.0,4118.0
2014-07-01,17480.0,29280.0,98680.0,7600.0,5408.0
2014-08-01,19042.0,54240.0,83790.0,62772.0,3968.0
2014-09-01,19362.0,13220.0,78642.0,33192.0,4976.0
2014-10-01,19306.0,45620.0,65794.0,30204.0,5956.0
2014-11-01,22938.0,30620.0,94404.0,32192.0,5340.0
2014-12-01,26539.0,92650.0,91966.0,41244.0,7172.0
2015-01-01,18070.0,23200.0,61282.0,0.0,4210.0
2015-02-01,18434.0,61760.0,108902.0,49260.0,3914.0
2015-03-01,26882.0,36020.0,106038.0,61160.0,3684.0
2015-04-01,24618.0,36670.0,68460.0,4600.0,2826.0
2015-05-01,8516.0,34290.0,89496.0,55864.0,3296.0
2015-06-01,25426.0,51150.0,63630.0,34336.0,2664.0
2015-07-01,22422.0,33450.0,87472.0,44112.0,2938.0
2015-08-01,17916.0,44544.0,61868.0,35432.0,4400.0
2015-09-01,19648.0,35660.0,88984.0,26792.0,4682.0
2015-10-01,21290.0,38880.0,69688.0,31412.0,4764.0
2015-11-01,9544.0,29316.0,76214.0,6800.0,2274.0
2015-12-01,22054.0,27508.0,84812.0,58342.0,2348.0
2016-01-01,12812.0,26750.0,65164.0,30808.0,1634.0
2016-02-01,17726.0,40130.0,71972.0,31796.0,2038.0
2016-03-01,20128.0,111234.0,93866.0,38656.0,3422.0
2016-04-01,16930.0,39354.0,90286.0,34976.0,880.0
2016-05-01,9462.0,60460.0,77532.0,49736.0,2776.0
2016-06-01,20346.0,58416.0,64622.0,38412.0,1886.0
2016-07-01,22412.0,88550.0,76424.0,19010.0,2394.0
2016-08-01,24836.0,56650.0,65422.0,18138.0,2456.0
2016-09-01,21160.0,64100.0,72898.0,19710.0,1190.0
2016-10-01,15448.0,81700.0,76788.0,51110.0,2696.0
2016-11-01,11968.0,90252.0,71276.0,21818.0,2742.0
2016-12-01,15996.0,125724.0,56310.0,53140.0,2840.0
2017-01-01,17146.0,54290.0,75210.0,35420.0,2684.0
2017-02-01,25012.0,35350.0,81422.0,41436.0,3298.0
2017-03-01,23990.0,67200.0,68306.0,38490.0,3246.0
2017-04-01,22138.0,53100.0,96570.0,40508.0,4120.0
2017-05-01,25388.0,63248.0,88104.0,20216.0,3776.0
2017-06-01,23076.0,68398.0,74926.0,55130.0,2926.0
2017-07-01,13390.0,35012.0,83624.0,34572.0,3088.0
2017-08-01,35258.0,35002.0,85102.0,22066.0,3110.0
2017-09-01,23908.0,57250.0,102356.0,37516.0,2868.0
2017-10-01,26104.0,51200.0,87248.0,52732.0,2744.0
2017-11-01,16030.0,62542.0,57892.0,19980.0,3410.0
2017-12-01,19476.0,58730.0,92516.0,57658.0,2356.0
2018-01-01,18612.0,37438.0,70876.0,27246.0,3732.0
2018-02-01,24658.0,64400.0,84150.0,36684.0,2772.0
2018-03-01,19936.0,53300.0,88668.0,55148.0,2752.0
2018-04-01,25684.0,41250.0,95078.0,40480.0,2140.0
2018-05-01,16246.0,64980.0,73008.0,19862.0,2362.0
2018-06-01,24394.0,78720.0,61318.0,50506.0,2910.0
2018-07-01,9560.0,25380.0,94312.0,17842.0,1842.0
2018-08-01,27678.0,79320.0,81824.0,52914.0,1916.0
2018-09-01,21386.0,37350.0,70850.0,24532.0,2064.0
2018-10-01,23458.0,20700.0,83620.0,41714.0,2280.0
2018-11-01,17786.0,76424.0,66782.0,47520.0,2424.0
2018-12-01,26550.0,85934.0,76962.0,42368.0,2344.0
2019-01-01,23662.0,40764.0,88092.0,38234.0,2074.0
2019-02-01,22284.0,58894.0,79866.0,38160.0,2774.0
2019-03-01,24034.0,83490.0,67902.0,38614.0,2848.0
2019-04-01,28364.0,52028.0,73916.0,36858.0,2782.0
2019-05-01,12960.0,79094.0,74696.0,17650.0,2856.0
2019-06-01,37048.0,85314.0,74720.0,44804.0,2084.0
2019-07-01,23314.0,55208.0,43938.0,29530.0,2872.0
2019-08-01,17434.0,123554.0,94272.0,20496.0,2852.0
2019-09-01,33188.0,48234.0,81894.0,51580.0,2722.0
2019-10-01,33504.0,84328.0,79766.0,33096.0,2400.0
2019-11-01,18056.0,81786.0,49744.0,42154.0,2190.0
2019-12-01,24152.0,32504.0,47542.0,24742.0,2168.0
2020-01-01,30412.0,34180.0,71798.0,42488.0,2386.0
2020-02-01,20380.0,78600.0,74198.0,31690.0,2400.0
2020-03-01,30282.0,86570.01000000001,77632.01000000001,53836.0,3254.0
2020-04-01,31572.25,58444.0,52166.0,31336.0,2144.0
2020-05-01,26878.0,90384.0,102434.0,52168.0,2144.0
2020-06-01,26410.0,56872.0,68354.0,34602.0,1318.0
2020-07-01,26676.0,51582.0,67752.0,32030.0,2138.0
2020-08-01,29588.0,102222.0,68290.0,13570.0,2360.0
2020-09-01,29796.0,77224.0,56960.0,34544.0,1708.0
2020-10-01,13180.0,51940.0,36852.0,48544.0,2212.0
2020-11-01,21572.0,123172.0,76324.0,25608.0,1822.0
2020-12-01,40277.75,84838.0,71574.0,47080.0,1778.0
2021-01-01,18740.0,32732.0,60008.0,37580.0,2650.0
2021-02-01,39656.0,38988.0,72476.0,41116.0,2620.0
2021-03-01,28410.0,24374.0,84788.0,50766.0,3692.0
2021-04-01,30392.0,42046.0,87294.0,51530.0,2804.0
2021-05-01,25492.0,70156.0,48646.0,12300.0,2442.0
2021-06-01,18836.0,94298.0,88566.0,27078.0,1554.0
2021-07-01,28332.0,41466.0,86458.0,28078.0,2148.0
2021-08-01,26312.0,50864.0,72716.0,25070.0,1724.0
2021-09-01,34846.0,55290.0,79856.0,23840.0,1948.0
2021-10-01,25258.0,75430.0,56878.0,28170.0,2014.0
2021-11-01,28884.0,98626.0,96918.0,38124.0,1838.0
