Empresa,Canal_Distribuicao,Mercado,Volume_Venda,Data
BC,ME,R1,9498.0,2012-01-01 00:00:00.000
BC,ME,R1,9596.0,2012-02-01 00:00:00.000
BC,ME,R1,10424.0,2012-03-01 00:00:00.000
BC,ME,R1,12276.0,2012-04-01 00:00:00.000
BC,ME,R1,11616.0,2012-05-01 00:00:00.000
BC,ME,R1,8744.0,2012-06-01 00:00:00.000
BC,ME,R1,9914.0,2012-07-01 00:00:00.000
BC,ME,R1,10894.0,2012-08-01 00:00:00.000
BC,ME,R1,12560.0,2012-09-01 00:00:00.000
BC,ME,R1,12162.0,2012-10-01 00:00:00.000
BC,ME,R1,12124.0,2012-11-01 00:00:00.000
BC,ME,R1,11316.0,2012-12-01 00:00:00.000
BC,ME,R1,15480.0,2013-01-01 00:00:00.000
BC,ME,R1,9576.0,2013-02-01 00:00:00.000
BC,ME,R1,11262.0,2013-03-01 00:00:00.000
BC,ME,R1,12106.0,2013-04-01 00:00:00.000
BC,ME,R1,7794.0,2013-05-01 00:00:00.000
BC,ME,R1,8802.0,2013-06-01 00:00:00.000
BC,ME,R1,7206.0,2013-07-01 00:00:00.000
BC,ME,R1,8580.0,2013-08-01 00:00:00.000
BC,ME,R1,8975.0,2013-09-01 00:00:00.000
BC,ME,R1,8105.0,2013-10-01 00:00:00.000
BC,ME,R1,8280.0,2013-11-01 00:00:00.000
BC,ME,R1,8668.0,2013-12-01 00:00:00.000
BC,ME,R1,8534.0,2014-01-01 00:00:00.000
BC,ME,R1,8300.0,2014-02-01 00:00:00.000
BC,ME,R1,13412.0,2014-03-01 00:00:00.000
BC,ME,R1,11436.0,2014-04-01 00:00:00.000
BC,ME,R1,9736.0,2014-05-01 00:00:00.000
BC,ME,R1,9118.0,2014-06-01 00:00:00.000
BC,ME,R1,9480.0,2014-07-01 00:00:00.000
BC,ME,R1,10042.0,2014-08-01 00:00:00.000
BC,ME,R1,9362.0,2014-09-01 00:00:00.000
BC,ME,R1,12306.0,2014-10-01 00:00:00.000
BC,ME,R1,8438.0,2014-11-01 00:00:00.000
BC,ME,R1,15539.0,2014-12-01 00:00:00.000
BC,ME,R1,10070.0,2015-01-01 00:00:00.000
BC,ME,R1,9434.0,2015-02-01 00:00:00.000
BC,ME,R1,14882.0,2015-03-01 00:00:00.000
BC,ME,R1,12618.0,2015-04-01 00:00:00.000
BC,ME,R1,8516.0,2015-05-01 00:00:00.000
BC,ME,R1,9426.0,2015-06-01 00:00:00.000
BC,ME,R1,10422.0,2015-07-01 00:00:00.000
BC,ME,R1,8916.0,2015-08-01 00:00:00.000
BC,ME,R1,10648.0,2015-09-01 00:00:00.000
BC,ME,R1,9790.0,2015-10-01 00:00:00.000
BC,ME,R1,9544.0,2015-11-01 00:00:00.000
BC,ME,R1,7054.0,2015-12-01 00:00:00.000
BC,ME,R1,4812.0,2016-01-01 00:00:00.000
BC,ME,R1,6226.0,2016-02-01 00:00:00.000
BC,ME,R1,9128.0,2016-03-01 00:00:00.000
BC,ME,R1,7930.0,2016-04-01 00:00:00.000
BC,ME,R1,9462.0,2016-05-01 00:00:00.000
BC,ME,R1,10346.0,2016-06-01 00:00:00.000
BC,ME,R1,8412.0,2016-07-01 00:00:00.000
BC,ME,R1,10836.0,2016-08-01 00:00:00.000
BC,ME,R1,8160.0,2016-09-01 00:00:00.000
BC,ME,R1,7448.0,2016-10-01 00:00:00.000
BC,ME,R1,6968.0,2016-11-01 00:00:00.000
BC,ME,R1,10996.0,2016-12-01 00:00:00.000
BC,ME,R1,10546.0,2017-01-01 00:00:00.000
BC,ME,R1,10012.0,2017-02-01 00:00:00.000
BC,ME,R1,10990.0,2017-03-01 00:00:00.000
BC,ME,R1,10138.0,2017-04-01 00:00:00.000
BC,ME,R1,11388.0,2017-05-01 00:00:00.000
BC,ME,R1,12076.0,2017-06-01 00:00:00.000
BC,ME,R1,11890.0,2017-07-01 00:00:00.000
BC,ME,R1,14758.0,2017-08-01 00:00:00.000
BC,ME,R1,10108.0,2017-09-01 00:00:00.000
BC,ME,R1,11904.0,2017-10-01 00:00:00.000
BC,ME,R1,11030.0,2017-11-01 00:00:00.000
BC,ME,R1,11476.0,2017-12-01 00:00:00.000
BC,ME,R1,10112.0,2018-01-01 00:00:00.000
BC,ME,R1,11658.0,2018-02-01 00:00:00.000
BC,ME,R1,9936.0,2018-03-01 00:00:00.000
BC,ME,R1,12684.0,2018-04-01 00:00:00.000
BC,ME,R1,12120.0,2018-05-01 00:00:00.000
BC,ME,R1,9520.0,2018-06-01 00:00:00.000
BC,ME,R1,9560.0,2018-07-01 00:00:00.000
BC,ME,R1,8478.0,2018-08-01 00:00:00.000
BC,ME,R1,9386.0,2018-09-01 00:00:00.000
BC,ME,R1,11958.0,2018-10-01 00:00:00.000
BC,ME,R1,10886.0,2018-11-01 00:00:00.000
BC,ME,R1,12550.0,2018-12-01 00:00:00.000
BC,ME,R1,10662.0,2019-01-01 00:00:00.000
BC,ME,R1,10284.0,2019-02-01 00:00:00.000
BC,ME,R1,13034.0,2019-03-01 00:00:00.000
BC,ME,R1,11864.0,2019-04-01 00:00:00.000
BC,ME,R1,12960.0,2019-05-01 00:00:00.000
BC,ME,R1,12548.0,2019-06-01 00:00:00.000
BC,ME,R1,11814.0,2019-07-01 00:00:00.000
BC,ME,R1,11434.0,2019-08-01 00:00:00.000
BC,ME,R1,9188.0,2019-09-01 00:00:00.000
BC,ME,R1,15004.0,2019-10-01 00:00:00.000
BC,ME,R1,13056.0,2019-11-01 00:00:00.000
BC,ME,R1,16152.0,2019-12-01 00:00:00.000
BC,ME,R1,14226.0,2020-01-01 00:00:00.000
BC,ME,R1,11380.0,2020-02-01 00:00:00.000
BC,ME,R1,14282.0,2020-03-01 00:00:00.000
BC,ME,R1,15272.25,2020-04-01 00:00:00.000
BC,ME,R1,11878.0,2020-05-01 00:00:00.000
BC,ME,R1,12410.0,2020-06-01 00:00:00.000
BC,ME,R1,14676.0,2020-07-01 00:00:00.000
BC,ME,R1,14588.0,2020-08-01 00:00:00.000
BC,ME,R1,13796.0,2020-09-01 00:00:00.000
BC,ME,R1,13180.0,2020-10-01 00:00:00.000
BC,ME,R1,9596.0,2020-11-01 00:00:00.000
BC,ME,R1,16277.75,2020-12-01 00:00:00.000
BC,ME,R1,14740.0,2021-01-01 00:00:00.000
BC,ME,R1,12656.0,2021-02-01 00:00:00.000
BC,ME,R1,16410.0,2021-03-01 00:00:00.000
BC,ME,R1,12392.0,2021-04-01 00:00:00.000
BC,ME,R1,13492.0,2021-05-01 00:00:00.000
BC,ME,R1,12836.0,2021-06-01 00:00:00.000
BC,ME,R1,15184.0,2021-07-01 00:00:00.000
BC,ME,R1,13812.0,2021-08-01 00:00:00.000
BC,ME,R1,13700.0,2021-09-01 00:00:00.000
BC,ME,R1,14258.0,2021-10-01 00:00:00.000
BC,ME,R1,14128.0,2021-11-01 00:00:00.000
BC,ME,R1,15368.0,2021-12-01 00:00:00.000
